Code	Iso	Species	Period	Volu	Site	Dilu	Cove	Trial	Day	IXM
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	2	149
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	2	85
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	4	371
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	4	357
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	4	231
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	4	351
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	4	296
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	6	368
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	6	401
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	6	385
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	6	356
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	6	300
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	8	351
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	8	277
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	8	318
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	8	290
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	8	349
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	10	374
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	10	329
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	10	325
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	10	354
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	10	328
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	12	333
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	12	230
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	12	250
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	12	339
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	12	323
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	14	397
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	14	352
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	14	311
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	14	347
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	14	345
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	16	316
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	16	311
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	16	345
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	16	351
